height,weight,age,sex,BMI
136.525,31.864838,65,xx,17.09571796
145.415,41.276872,51,xx,19.5203843
149.225,38.2434755,32,xx,17.17410755
147.955,34.869885,19,xx,15.9290994
154.305,49.89512,47,xx,20.95550222
144.78,36.0322145,73,xx,17.18991818
149.9,47.7,20,xx,21.22829496
150.495,33.849303,65.3,xx,14.94533272
143.9418,38.3568735,31,xx,18.51268202
105.41,13.947954,8,xx,12.55298124
86.36,10.489315,6.5,xx,14.06442108
156.21,42.7226965,29,xx,17.50817953
109.22,15.989118,7,xx,13.40356001
148.59,37.9032815,45,xx,17.16712801
147.32,35.4652245,19,xx,16.34102495
125.73,22.6796,16,xx,14.3468831
146.05,37.5063885,24,xx,17.58337042
146.05,38.498621,35,xx,18.04853895
152.7048,46.606578,33,xx,19.98673433
142.875,38.838815,27,xx,19.02626249
142.875,35.5786225,32,xx,17.42916746
147.955,47.400364,36,xx,21.6532148
147.32,39.12231,42,xx,18.02607068
147.955,49.89512,19,xx,22.79285768
144.78,28.803092,17,xx,13.74111477
128.905,23.359988,12,xx,14.05830913
97.79,13.267566,5,xx,13.87402154
143.51,38.55532,43,xx,18.72060945
110.49,15.422128,9,xx,12.63276322
97.79,12.757275,5,xx,13.34040533
152.4,46.719976,44,xx,20.11558545
141.605,44.22522,60,xx,22.05529268
158.8,50.9,20,xx,20.18444378
155.575,54.317642,37,xx,22.4419861
151.765,48.024053,50,xx,20.85045599
154.305,47.62716,25,xx,20.0029794
145.415,45.642695,23,xx,21.58504033
145.415,42.410852,52,xx,20.05665859
144.145,37.194544,27,xx,17.90111464
129.54,25.627948,14,xx,15.27235634
142.875,37.3362915,39,xx,18.29021
146.05,29.596878,12,xx,13.87531271
158.4198,47.286966,24,xx,18.84180603
149.86,37.931631,46,xx,16.89001598
147.955,41.900561,17,xx,19.14082026
137.795,27.5840635,12,xx,14.52751477
154.94,47.2019175,22,xx,19.66221942
147.955,39.3774555,30,xx,17.98822689
148.59,39.4341545,47,xx,17.86048995
136.525,36.28736,79,xx,19.46843327
144.78,42.2691045,54,xx,20.16535642
118.745,18.824068,9,xx,13.35004776
146.05,42.807745,23,xx,20.06869942
147.32,35.0683315,36,xx,16.15815176
162.56,56.755699,30,xx,21.47741929
152.4,51.255896,34,xx,22.06855491
149.86,40.936678,43,xx,18.228089
142.875,32.715323,73.3,xx,16.02650139
154.94,39.9444455,33,xx,16.63907937
148.59,32.4601775,16,xx,14.70184111
152.4,41.106775,29,xx,17.69878574
124.46,18.257078,12,xx,11.78614223
146.05,37.5063885,53,xx,17.58337042
151.13,42.2691045,48,xx,18.50638882
149.86,42.410852,35,xx,18.88450218
153.035,49.5832755,46,xx,21.17159986
149.225,42.1557065,27,xx,18.93098438
116.84,19.391058,8,xx,14.20425331
145.415,42.52425,53,xx,20.11028602
151.13,38.498621,41,xx,16.85558418
150.495,49.8100715,50,xx,21.99242009
91.44,11.7083435,3,xx,14.00306228
152.4,39.292407,49,xx,16.91759796
129.54,21.999212,12,xx,13.10989881
147.32,36.8826995,22,xx,16.99414345
145.415,42.127357,29,xx,19.92259002
121.92,19.787951,8,xx,13.31223324
154.305,47.853956,34,xx,20.09823168
120.65,21.1770765,12,xx,14.54827002
142.875,32.998818,40,xx,16.16537922
152.4,40.879979,27,xx,17.60113727
96.52,13.267566,3,xx,14.24152938
149.86,53.4388075,45,xx,23.79497767
149.225,42.240755,45,xx,18.96917735
125.095,22.3677555,11,xx,14.29362895
140.97,40.936678,85.6,xx,20.59961945
141.605,44.338618,24,xx,22.11184471
150.1648,41.95726,22,xx,18.60676339
155.575,51.482692,24,xx,21.27069246
103.505,12.757275,6,xx,11.90790217
94.615,13.0124205,4,xx,14.53577198
156.21,44.111822,21,xx,18.07745676
153.035,32.205032,79,xx,13.75125068
149.86,52.673371,40,xx,23.45414776
147.955,36.4858065,64,xx,16.66727718
155.575,42.0990075,26,xx,17.39371052
146.685,46.549879,62,xx,21.63451412
142.875,32.205032,17,xx,15.7765213
133.35,23.756881,14,xx,13.35990538
151.765,35.2951275,74,xx,15.32397739
148.59,43.885026,33,xx,19.87637558
157.48,45.5576465,53,xx,18.37005549
149.86,39.008912,18,xx,17.36970254
147.955,41.163474,37,xx,18.80410759
102.235,13.1258185,6,xx,12.55819412
153.035,45.245802,61,xx,19.31953881
149.225,52.3048275,35,xx,23.48867934
138.43,39.0939605,23,xx,20.40089554
149.225,40.3980375,53,xx,18.1416629
149.86,38.668718,57,xx,17.21822257
156.21,44.338618,29,xx,18.17039999
143.51,31.071052,18,xx,15.08660879
154.305,46.776675,51,xx,19.64578333
131.445,22.509503,14,xx,13.02800044
154.305,41.276872,25,xx,17.33591548
145.415,44.9906565,37,xx,21.27668261
147.955,44.735511,16,xx,20.43586899
156.845,45.6710445,43,xx,18.56519807
144.78,41.1918235,67,xx,19.65141709
143.51,38.4135725,39,xx,18.65178368
149.225,42.127357,18,xx,18.91825338
